student_id,name,gpa,math_grade,science_grade,interest_stem,interest_arts,gender,socioeconomic_status
37,Roxana Winterbotham,0.24,80,79,No,Yes,Female,high income
38,Adora Mazzey,1.24,99,99,No,Yes,Female,high income
39,Mitzi Klebes,1.51,100,83,No,No,Non-binary,high income
40,Marys Tibbs,3.23,87,90,No,Yes,Non-binary,low income
41,Bobette Youthed,1.57,100,77,No,No,Female,low income
42,Brittan Newbury,3.33,95,77,No,No,Female,low income
43,Michelina Moakes,3.64,100,89,Yes,No,Female,low income
44,Kristoffer Plaster,1.29,76,91,No,No,Agender,middle income
45,Benjamen Rigard,3.42,75,78,Yes,No,Male,high income
46,Robinia Jewett,0.69,91,82,No,No,Female,high income
47,Robinet Lathan,3.91,80,87,Yes,Yes,Female,middle income
48,Gloriana Larmouth,3.42,90,86,No,Yes,Female,high income
49,Edgar Dight,0.04,92,90,Yes,Yes,Male,low income
50,Moyra Dimitrijevic,0.27,98,91,No,Yes,Female,high income
51,Sibbie Hammerson,0.16,88,79,Yes,No,Female,middle income
52,Ethel Stoddard,3.05,94,92,No,Yes,Female,high income
53,Sherill Fannon,0.36,89,80,Yes,No,Female,middle income
54,Lydie Heenan,1.36,86,84,No,Yes,Female,high income
55,Saree Brekonridge,2.94,76,93,Yes,Yes,Female,high income
56,Davie Verrico,3.89,99,81,Yes,Yes,Male,high income
57,Earl Meijer,2.05,86,93,No,Yes,Male,high income
58,Vere Ingarfill,0.24,100,80,No,No,Genderfluid,low income
59,Orin Housbey,1.64,84,78,No,Yes,Male,middle income
60,Perri Horney,3.0,82,95,No,No,Female,middle income
61,Dianemarie Hullock,1.49,80,90,No,No,Bigender,low income
62,Sheffy Cheley,1.73,93,99,No,No,Male,high income
63,Gwenore Bayly,0.48,93,82,Yes,Yes,Non-binary,high income
64,Wells Rosenvasser,3.91,94,93,Yes,Yes,Male,high income
65,Bealle L' Estrange,3.29,94,80,Yes,No,Male,middle income
66,Paddy Noot,2.18,78,83,Yes,Yes,Male,middle income
67,Ricardo Bonds,0.69,93,95,No,No,Male,middle income
68,Anatole Deporte,1.11,91,76,Yes,Yes,Polygender,high income
69,Jillana Stancer,2.39,94,81,No,Yes,Non-binary,middle income
70,Remington Ruddock,2.11,92,99,Yes,No,Male,middle income
71,Rutledge Bettridge,1.43,81,90,Yes,No,Male,middle income
72,Brooks Cristofor,1.09,76,92,Yes,No,Female,middle income
73,Meridel Mil,3.9,83,77,No,No,Female,high income
74,Ezri Swinbourne,0.29,92,98,Yes,No,Male,low income
75,Barnabe de Tocqueville,2.49,77,88,No,No,Male,low income
76,Cassy Drissell,0.31,88,79,No,No,Genderqueer,low income
77,Aubert Gullifant,2.66,96,90,No,No,Male,low income
78,Rory Hurst,2.86,95,100,No,Yes,Male,middle income
79,Tabor Ratcliffe,1.46,100,81,No,No,Male,low income
80,Johnathan Gosson,0.11,95,91,Yes,Yes,Male,low income
81,Dal Mendenhall,2.05,77,93,No,No,Male,low income
82,Adriena Issitt,2.05,86,76,No,No,Female,middle income
83,Hugibert McIlhagga,0.59,77,86,No,No,Male,high income
84,Zelda Bignall,3.28,95,89,No,Yes,Female,middle income
85,Judon Caron,0.65,81,93,Yes,Yes,Male,high income
86,Lib Nodin,1.27,87,90,No,No,Female,middle income
87,Nils Upson,1.95,85,82,Yes,Yes,Male,middle income
88,Carrissa Flucker,3.25,77,76,No,No,Female,low income
89,Hardy Carlone,3.85,78,90,Yes,No,Male,middle income
90,Herc Gages,3.87,95,82,Yes,No,Male,high income
91,Ripley Roman,3.7,91,75,Yes,No,Male,high income
92,Edgardo Udden,2.94,93,79,Yes,Yes,Male,low income
93,Michal Maddrell,2.68,81,79,No,No,Female,low income
94,Christian Kornyakov,3.21,81,90,No,Yes,Male,low income
95,Mariquilla Hurrion,3.91,100,91,No,Yes,Female,middle income
96,Keri Beggs,0.84,96,85,Yes,No,Female,middle income
97,Rivy Hambridge,3.76,79,92,Yes,Yes,Female,high income
98,Aristotle Martinez,2.44,99,95,Yes,Yes,Male,middle income
99,Adi Scown,0.35,88,86,Yes,Yes,Female,high income
100,Arley Suttell,1.92,87,76,Yes,Yes,Male,middle income
101,Marget Guye,3.08,75,89,No,Yes,Female,middle income
102,Shelton Goggin,2.41,84,83,Yes,Yes,Male,high income
103,Adelice Palfrie,0.68,75,77,No,Yes,Female,low income
104,Jeannette Voysey,0.19,91,88,No,Yes,Female,high income
105,Florry Mulliner,0.15,85,91,No,Yes,Female,middle income
106,Oby Cokayne,0.28,89,95,Yes,Yes,Male,middle income
107,Antons Bosche,0.83,98,96,No,No,Male,low income
108,Patti Thorius,3.19,78,90,Yes,No,Female,high income
109,Bron Swadling,1.02,90,100,No,Yes,Male,high income
110,Georg Reyner,0.88,95,100,Yes,Yes,Male,middle income
111,Teador De Pero,3.42,80,91,Yes,No,Male,low income
112,Culver MacArdle,3.74,99,79,No,No,Male,middle income
113,Gladys Zannolli,2.49,81,90,No,No,Female,high income
114,Durante Aucock,3.11,98,83,Yes,Yes,Polygender,low income
115,Lori Neenan,1.17,84,85,Yes,Yes,Female,middle income
116,Thomasa Gilhouley,0.19,88,91,No,Yes,Female,low income
117,Kaspar Briance,0.16,85,93,Yes,No,Male,low income
118,Currey Halfacree,2.89,96,92,No,No,Male,low income
119,Byrle Babinski,2.97,77,80,No,No,Male,low income
120,Ange Carrane,0.78,96,83,No,Yes,Male,middle income
121,Gianina Antram,3.29,83,79,Yes,Yes,Female,high income
122,Lorne Martine,3.64,99,89,No,Yes,Bigender,low income
123,Aubree Mapledoram,3.22,79,84,No,No,Female,middle income
124,Elnora Beels,0.17,85,98,Yes,Yes,Female,middle income
125,Kingsly Sakins,1.58,79,94,No,No,Male,high income
126,Filberto Fruser,0.87,81,89,No,Yes,Male,middle income
127,Emmy Milillo,1.05,77,85,No,Yes,Female,middle income
128,Gisella Minshull,3.61,88,81,Yes,No,Female,middle income
129,Cristobal Lackeye,0.71,90,80,No,No,Male,high income
130,Dan Bessell,3.73,86,100,No,No,Male,high income
131,Gayler Shreve,0.58,96,94,No,No,Male,middle income
132,Letisha Shugg,1.39,84,92,No,Yes,Female,high income
133,Kort Tolchard,1.88,77,83,Yes,No,Male,high income
134,Wilton Mollison,0.19,98,90,No,Yes,Male,middle income
135,Cord Upwood,2.7,91,89,No,No,Male,low income
136,Chelsea Djekovic,3.73,93,92,No,Yes,Genderqueer,low income
137,Giraldo Hargraves,1.11,84,96,No,No,Male,high income
138,Godfrey Mountlow,3.39,97,76,No,Yes,Male,low income
139,Shea Gabrieli,3.95,85,84,Yes,No,Male,low income
140,Star Kerner,1.69,91,92,Yes,Yes,Female,high income
141,Dana Daws,0.49,84,94,No,No,Male,middle income
142,Dacy Bromige,2.99,80,93,Yes,No,Female,low income
143,Humberto Astall,1.98,89,98,No,No,Male,high income
144,Bernard Wasselin,2.9,75,94,Yes,Yes,Male,low income
145,Griswold Boribal,2.59,77,91,No,Yes,Male,high income
146,Ana Liffey,3.11,91,80,No,Yes,Female,low income
147,Buffy Swadling,2.04,83,95,Yes,No,Female,low income
148,Kin Huller,1.99,77,85,Yes,Yes,Genderfluid,high income
149,Caitrin Plumptre,0.57,99,95,No,Yes,Female,middle income
150,Abbe Hurn,0.1,96,86,Yes,Yes,Female,low income
151,Hashim Keher,0.61,82,83,Yes,Yes,Male,high income
152,Catharine O'Hare,3.58,77,96,No,No,Female,high income
153,Lilly Foakes,2.8,99,77,No,No,Female,low income
154,Danita Swinbourne,1.05,98,100,No,No,Female,middle income
155,Ennis Le Franc,3.99,99,99,No,Yes,Male,low income
156,Crystal Arrowsmith,2.34,97,92,No,Yes,Female,high income
157,Gerick McRobb,3.83,83,89,No,Yes,Male,middle income
158,Tine Heddy,3.19,76,85,Yes,Yes,Female,low income
159,Otto Manoch,2.44,97,85,No,Yes,Male,low income
160,Julius Drust,1.19,85,99,No,No,Male,low income
161,Ward Kingswood,0.84,84,94,No,No,Male,high income
162,Aurelea Erdes,0.25,77,93,Yes,Yes,Female,middle income
163,Beatrice Cadwaladr,2.16,77,90,Yes,Yes,Female,low income
164,D'arcy Woollends,3.12,79,78,Yes,No,Male,high income
165,Slade Marrian,0.3,93,78,Yes,No,Male,high income
166,Jessika Dysert,2.4,80,100,Yes,No,Female,low income
167,Christian Harragin,1.85,83,88,No,Yes,Male,low income
168,Lindsay Fominov,3.64,94,98,No,No,Male,middle income
169,Moe Emerson,0.16,78,91,Yes,No,Male,low income
170,Ambrosio Richford,3.84,97,89,Yes,No,Male,high income
171,Carlyn Trewhela,2.58,89,88,No,No,Female,low income
172,Teddi Tackes,3.05,79,99,No,No,Female,low income
173,Bendick Corradi,1.46,75,79,Yes,No,Male,middle income
174,Griswold Benitez,1.45,96,88,No,Yes,Male,low income
175,Aldis Farrent,1.37,94,85,Yes,Yes,Male,low income
176,Erin Powis,2.27,77,77,Yes,Yes,Male,low income
177,Guinna Tattoo,3.8,78,98,Yes,No,Female,low income
178,Libbie Jaulme,1.53,83,86,No,Yes,Female,high income
179,Kissie McColm,3.21,95,100,No,Yes,Female,high income
180,Kirby Tipperton,3.06,77,85,Yes,Yes,Female,low income
181,Derry Boddie,1.38,83,87,Yes,No,Male,low income
182,Shurlocke Gilsthorpe,3.83,96,95,No,No,Male,middle income
183,Sheffield Conningham,1.35,76,87,Yes,No,Male,high income
184,Carolan Mungane,3.01,95,81,Yes,Yes,Female,middle income
185,Laurette Winscum,1.94,77,92,Yes,No,Bigender,high income
186,Emlyn Whitechurch,2.98,88,77,Yes,Yes,Male,high income
187,Dre Tallet,3.25,90,82,No,Yes,Female,high income
188,Markos Egdal,3.64,97,93,No,Yes,Male,middle income
189,Guthry Pappi,1.99,82,90,No,No,Male,high income
190,Jennette Fipp,2.37,84,96,Yes,Yes,Polygender,high income
191,Aveline Lotze,0.06,96,75,Yes,Yes,Female,low income
192,Corbet Caldron,0.03,80,76,Yes,Yes,Male,middle income
193,Cedric Cattow,2.77,82,83,Yes,Yes,Male,low income
194,Justino Lonergan,3.49,80,83,No,No,Male,low income
195,Chelsea Benian,0.72,98,96,No,Yes,Polygender,high income
196,Giffy Dryburgh,0.15,95,82,No,No,Male,middle income
197,Demetrius Craddy,0.49,97,90,Yes,Yes,Male,high income
198,Charis Myerscough,3.31,89,99,No,No,Female,high income
199,Mikkel Eton,0.17,89,99,No,No,Male,low income
200,Blanche Rosewell,3.41,78,76,No,Yes,Female,low income
201,Donavon Zamudio,2.7,75,86,No,Yes,Male,low income
202,Faydra Wilmot,2.82,85,90,No,Yes,Female,middle income
203,Valerie Reddington,0.82,96,79,Yes,Yes,Female,middle income
204,Moss Scotland,3.15,98,81,No,No,Bigender,middle income
205,Geraldine Lammert,2.23,82,83,Yes,Yes,Female,low income
206,Bobbette Matterface,0.01,84,99,No,No,Female,middle income
207,Florian Glusby,3.21,88,89,Yes,Yes,Male,middle income
208,Papageno Blue,2.31,75,99,Yes,Yes,Male,middle income
209,Alanah Kulver,0.11,81,84,No,Yes,Female,low income
210,Rodina Dabbs,2.44,88,75,Yes,Yes,Female,low income
211,Elladine McComish,0.29,94,95,Yes,Yes,Female,middle income
212,Britteny Tresler,2.63,90,77,Yes,Yes,Female,high income
213,Emmett Weir,2.87,76,77,Yes,Yes,Male,middle income
214,Kendrick Dolby,3.22,91,78,Yes,Yes,Male,low income
215,Kakalina Benz,0.65,81,75,Yes,No,Female,middle income
216,Moe Trowl,2.9,99,98,No,Yes,Male,high income
217,Davine Dicey,0.57,88,83,Yes,No,Female,high income
218,Abram Ricket,2.81,94,92,Yes,Yes,Male,low income
219,Deeyn Milam,2.7,79,95,Yes,No,Female,low income
220,Garfield Pischel,2.49,87,100,Yes,Yes,Male,low income
221,Gates Ferreira,0.73,98,83,Yes,Yes,Female,low income
222,Dale Scrivner,0.08,87,97,No,No,Male,middle income
223,Wilmer Pettet,0.7,91,94,No,Yes,Male,middle income
224,Catriona Westpfel,3.07,76,79,Yes,No,Female,low income
225,Yankee O'Shirine,2.77,78,100,Yes,No,Male,low income
226,Hobie Lamball,0.06,91,82,No,No,Genderfluid,middle income
227,Lorna Smith,1.7,79,85,No,Yes,Polygender,high income
228,Jude Giffkins,2.93,88,89,Yes,Yes,Male,low income
229,Rois Sides,1.17,93,88,Yes,No,Female,high income
230,Cesar Bodesson,3.96,81,87,Yes,No,Genderqueer,middle income
231,Juliet Bett,3.0,97,84,No,No,Female,high income
232,Auria Bartoszinski,2.57,92,75,No,Yes,Female,high income
233,Elliott Yellowlea,0.78,93,92,Yes,Yes,Genderfluid,low income
234,Ellsworth Corben,2.29,76,92,No,Yes,Male,low income
235,Xavier Stigger,1.4,99,84,Yes,Yes,Male,high income
236,Adan Mehaffey,3.97,97,76,Yes,No,Female,low income
237,Saxon Spillard,1.32,77,95,Yes,Yes,Male,middle income
238,Flemming Saffin,0.77,83,84,No,Yes,Male,middle income
239,Alys Lawlor,1.93,85,92,No,Yes,Female,high income
240,Gibby Dun,3.96,84,77,Yes,No,Male,low income
241,Leroi Stracey,3.79,82,76,Yes,No,Male,low income
242,Tad Tanswill,1.91,75,93,Yes,Yes,Male,high income
243,Agata Pretty,2.57,91,89,No,No,Female,middle income
244,Lester Viegas,1.22,97,99,Yes,No,Male,high income
245,Ivett Veall,3.98,80,84,Yes,Yes,Female,low income
246,Tresa Normand,1.32,98,84,Yes,Yes,Female,high income
247,Tome Hurn,0.61,95,77,Yes,Yes,Male,high income
248,Trescha Tumility,1.65,100,86,No,Yes,Female,low income
249,Matilda Shinfield,2.77,90,81,Yes,Yes,Female,middle income
250,Sander Ofer,2.23,83,82,Yes,No,Male,low income
251,Katrinka Babbage,1.19,92,75,No,No,Female,high income
252,Letta Henkens,0.25,89,89,No,No,Female,high income
253,Gustavo Gieves,0.0,80,94,No,No,Male,middle income
254,Giles Fontaine,2.34,83,88,No,No,Male,middle income
255,Charlot Scaife,1.17,79,85,Yes,No,Polygender,middle income
256,Nat Marzella,2.97,90,90,No,Yes,Male,low income
257,Tybalt Chivers,3.35,85,94,No,No,Male,middle income
258,Alfreda Ousley,1.32,91,95,No,No,Non-binary,low income
259,Marysa Fawcitt,1.06,86,100,Yes,Yes,Female,middle income
260,Licha Caff,1.51,76,81,Yes,Yes,Female,middle income
261,Marti Millberg,2.03,78,80,Yes,No,Female,high income
262,Sid Brideaux,3.95,77,91,Yes,No,Bigender,middle income
263,Kippie Cawthron,2.97,95,94,Yes,Yes,Genderfluid,high income
264,Ethelred Agneau,0.34,78,86,No,Yes,Male,low income
265,Shara Ruffell,3.08,86,76,Yes,Yes,Female,high income
266,Annmaria Vasile,0.04,99,78,Yes,No,Female,high income
267,Kenton Ellicombe,2.97,87,79,No,Yes,Polygender,low income
268,Wiatt Luck,0.68,92,89,No,Yes,Male,high income
269,Giraldo Dowsey,0.88,82,85,No,Yes,Male,low income
270,Zia Rustan,1.73,89,98,Yes,No,Female,high income
271,Margarethe Cliff,0.49,87,79,No,Yes,Female,low income
272,Teddy Thirwell,3.68,87,89,No,No,Female,middle income
273,Lizzy Rodolfi,0.98,83,94,Yes,Yes,Female,high income
274,Raimund Bartusek,1.8,96,76,No,Yes,Male,low income
275,Raf Dalzell,1.78,89,89,Yes,No,Female,high income
276,Kerk Kingzet,3.19,82,83,Yes,Yes,Male,high income
277,Lisette Warrender,0.35,85,79,No,Yes,Female,low income
278,Calvin Polson,0.04,92,76,No,Yes,Male,low income
279,Sharl Duffyn,1.58,91,100,No,Yes,Female,high income
280,Cathi Baggaley,1.48,91,77,Yes,No,Female,low income
281,Rollin Kunkler,2.94,88,91,No,Yes,Male,high income
282,Heywood Hellewell,1.12,86,85,No,No,Male,low income
283,Peggy Aslett,3.52,100,95,Yes,Yes,Female,low income
284,Ali Plain,3.47,92,78,Yes,Yes,Genderfluid,middle income
285,Armin Stiller,2.86,95,82,Yes,No,Male,high income
286,Glyn Caron,2.68,90,100,No,Yes,Female,middle income
287,Tracey Boards,0.01,75,82,Yes,No,Male,high income
288,Merrili Scougal,3.1,83,89,Yes,Yes,Female,low income
289,Yuma Renac,1.97,84,90,Yes,Yes,Male,middle income
290,Selle Pasque,0.51,76,83,No,No,Female,high income
291,Dani Gribble,0.86,94,99,No,Yes,Agender,middle income
292,Micky Buttner,1.87,76,85,No,Yes,Male,high income
293,Ellette Cadogan,0.11,100,97,Yes,Yes,Female,high income
294,Grenville Haug,3.91,76,89,Yes,Yes,Male,low income
295,Ermanno Gingold,2.74,79,86,No,Yes,Male,high income
296,Shara Skains,3.07,93,86,No,No,Agender,high income
297,West Southwell,3.62,89,93,Yes,No,Male,low income
298,Tadeo Caldroni,0.92,93,95,No,No,Male,high income
299,Mart Skaif,2.95,75,83,No,No,Male,middle income
300,Alec Reith,0.37,84,84,Yes,No,Male,low income
301,Elvyn Cristol,2.81,98,99,No,Yes,Male,high income
302,Dianna Caslane,3.56,88,75,Yes,No,Female,middle income
303,Honey Thaw,1.18,90,82,Yes,Yes,Female,low income
304,Jason Windeatt,3.94,92,89,Yes,No,Male,high income
305,Kele Peepall,3.4,81,76,Yes,Yes,Bigender,low income
306,Markos Lyokhin,0.51,75,100,No,Yes,Male,middle income
307,Claiborn Leedal,3.63,96,90,Yes,No,Male,low income
308,Annadiana Stailey,1.33,83,76,No,Yes,Female,high income
309,Jan Chastan,0.82,77,89,No,No,Male,low income
310,Doralynn Wandrack,2.71,91,80,No,No,Female,middle income
311,Dionis Bilyard,1.45,89,76,No,Yes,Female,high income
312,Lauritz Hardern,2.46,88,80,Yes,Yes,Male,low income
313,Creight Lowensohn,0.54,75,83,No,Yes,Male,low income
314,Hermine Worters,1.52,86,88,No,No,Agender,middle income
315,Romona Jouhandeau,2.37,95,89,No,No,Non-binary,high income
316,Oralle Marrion,3.66,78,86,No,No,Female,low income
317,Claiborn Pevie,2.93,94,78,No,Yes,Male,high income
318,Gun Rennie,0.48,93,83,Yes,No,Genderfluid,high income
319,Herrick Gasson,1.69,77,90,No,Yes,Bigender,low income
320,Garrek Wibrew,2.38,81,77,No,No,Male,high income
321,Bambie Bootes,4.0,84,94,Yes,No,Female,high income
322,Giles Chaize,0.68,89,86,Yes,Yes,Male,middle income
323,Fraser de'-Ancy Willis,2.0,88,87,No,Yes,Male,low income
324,Valerye Oakman,3.65,95,86,Yes,Yes,Female,middle income
325,Gratiana Strange,0.15,84,82,Yes,Yes,Female,high income
326,Cobbie Smorthit,2.37,95,78,Yes,No,Male,low income
327,Cordie Grose,0.71,75,85,No,Yes,Female,high income
328,Wallis Joslyn,0.51,97,87,No,Yes,Genderfluid,high income
329,Sibelle Reasce,2.58,96,88,Yes,Yes,Female,low income
330,Katrine Setch,1.24,95,93,No,No,Bigender,high income
331,Latashia Gosforth,1.87,91,100,Yes,Yes,Female,low income
332,Jeth Harriday,3.14,96,89,Yes,Yes,Male,middle income
333,Amanda Weitzel,3.47,94,97,No,Yes,Female,middle income
334,Elsie Emberson,3.9,85,75,Yes,No,Female,middle income
335,Marice Duligall,3.62,86,84,No,Yes,Female,high income
336,Siffre Radbourne,2.62,97,95,Yes,No,Male,middle income
337,Mar Dallimore,2.88,92,92,No,Yes,Male,high income
338,Nancie Dedrick,1.3,94,76,No,Yes,Female,middle income
339,Lorrin Steadman,1.69,91,84,Yes,Yes,Female,low income
340,Winne O' Culligan,3.6,77,98,Yes,Yes,Female,middle income
341,Kincaid Bustin,1.79,96,80,No,No,Male,high income
342,Hershel Goundrill,3.47,79,79,Yes,No,Male,high income
343,Yale Squire,0.91,78,100,Yes,Yes,Male,high income
344,Whitby Delahunt,2.29,79,75,No,Yes,Male,middle income
345,Jany Honniebal,2.26,96,84,No,Yes,Female,low income
346,Gilbertina Shillingford,3.82,88,87,Yes,No,Female,middle income
347,Noelani Medmore,3.3,91,86,Yes,Yes,Female,low income
348,Zoe Tabert,3.7,83,95,No,Yes,Female,middle income
349,Devina Petford,2.44,83,87,Yes,Yes,Non-binary,low income
350,Easter Tomaschke,2.63,84,91,Yes,No,Female,high income
351,Colet Bolter,0.64,84,87,Yes,No,Male,high income
352,Courtenay Dictus,3.16,92,81,Yes,Yes,Non-binary,middle income
353,Sigmund Blewmen,3.26,96,95,No,Yes,Male,high income
354,Aldric Danahar,1.18,98,84,Yes,Yes,Male,middle income
355,Enrico Redan,1.58,87,86,No,Yes,Non-binary,low income
356,Binni Joseph,0.16,100,86,No,Yes,Female,middle income
357,Morry Devey,0.21,89,95,No,Yes,Male,high income
358,Gennie Tosh,2.15,80,95,No,No,Female,middle income
359,Gabi MacKniely,0.05,92,81,Yes,Yes,Male,low income
360,Kissie Girardy,3.57,85,92,No,Yes,Female,high income
361,Michele Stanistreet,2.23,89,81,Yes,Yes,Male,high income
362,Zora Iglesiaz,0.61,90,92,Yes,Yes,Female,high income
363,Garald Spyvye,3.81,86,92,Yes,No,Male,high income
364,Letty Griffitt,2.99,95,89,Yes,No,Female,middle income
365,Ranice Liddyard,0.87,86,88,No,No,Female,middle income
366,Gavrielle Maypother,3.62,75,100,Yes,Yes,Female,high income
367,Pansy Oolahan,2.97,97,95,Yes,No,Genderqueer,high income
368,Peggi Kobel,1.77,88,75,Yes,Yes,Female,high income
369,Mannie Fawckner,1.61,84,90,No,No,Male,middle income
370,Devonna Vegas,0.59,79,75,No,No,Genderqueer,high income
371,Evvy Baitey,0.29,97,93,Yes,No,Female,high income
372,Philis Espina,2.17,86,88,No,No,Female,low income
373,Tomasina Hoffman,3.47,89,100,Yes,Yes,Female,high income
374,Elroy Gayton,1.75,75,83,Yes,No,Male,middle income
375,Farlie Gildea,3.29,98,96,No,Yes,Male,high income
376,Wolfie Huton,2.8,81,98,Yes,Yes,Male,low income
377,Jarret Papaminas,3.56,88,83,Yes,No,Male,high income
378,Arabela Robb,0.02,92,76,No,Yes,Female,high income
379,Venita Scardifeild,0.62,100,97,No,Yes,Genderqueer,low income
380,Dynah Bolletti,3.13,80,94,Yes,No,Female,low income
381,Jobi Lippo,2.55,96,87,Yes,No,Genderfluid,high income
382,Jameson Wadeling,0.67,78,88,Yes,Yes,Male,low income
383,Zelig Efford,0.63,98,81,No,Yes,Non-binary,middle income
384,Nealon Blockley,1.2,77,85,Yes,No,Male,high income
385,Mickey Celier,3.93,89,78,No,Yes,Male,high income
386,Minda Quirke,1.02,91,92,Yes,Yes,Female,middle income
387,Maxie Pickerell,3.99,81,75,Yes,Yes,Female,low income
388,Raoul Fortun,2.95,93,77,Yes,Yes,Male,middle income
389,Gratiana Kyston,2.78,76,95,Yes,Yes,Female,low income
390,Flossi Olivetti,0.18,76,83,Yes,Yes,Bigender,high income
391,Hester Habben,0.71,92,97,No,Yes,Genderqueer,middle income
392,Ulberto Bramich,1.46,97,100,No,No,Agender,middle income
393,Alecia Wrettum,3.41,87,76,No,No,Female,high income
394,Rodd Cartmer,1.8,95,86,No,Yes,Male,high income
395,Trixy Manion,0.69,84,97,No,No,Female,high income
396,Ardys Denver,3.53,96,93,No,Yes,Female,low income
397,Lane Swires,2.71,100,86,No,Yes,Male,high income
398,Tadeo Dunsmuir,3.36,85,81,No,No,Male,low income
399,Fara Shackleton,2.37,76,96,No,No,Female,low income
400,Wain Ransley,1.92,99,92,No,Yes,Male,middle income
401,Franz Glashby,0.86,98,89,Yes,Yes,Non-binary,middle income
402,Tommy Lamplugh,0.03,94,97,Yes,Yes,Male,low income
403,Adam Scargle,0.76,86,76,Yes,No,Male,high income
404,Braden Tomaselli,1.35,100,94,Yes,No,Male,high income
405,Norine Gehringer,3.45,88,100,Yes,No,Female,low income
406,Mable Pudan,2.11,94,93,No,Yes,Female,low income
407,Ketty Rookeby,2.11,88,87,Yes,Yes,Female,middle income
408,Felicia Ryding,1.47,94,87,Yes,No,Female,low income
409,Ardella Drewell,1.8,90,84,No,Yes,Female,low income
410,Alameda Venny,3.72,82,76,No,No,Female,high income
411,Rosaline Kyston,1.99,100,91,Yes,Yes,Female,low income
412,Gardiner Bigham,3.45,75,95,Yes,No,Male,low income
413,Cyril Fullerd,2.48,97,85,Yes,No,Male,high income
414,Ross Keeves,2.88,90,78,Yes,Yes,Male,low income
415,Linell Pitrollo,3.22,85,76,Yes,No,Female,high income
416,Minetta Tatchell,3.28,78,85,Yes,Yes,Female,high income
417,Barry Rawes,0.08,92,100,No,No,Female,high income
418,Emlyn Olenchenko,3.96,80,81,No,No,Male,low income
419,Warden Trighton,1.29,100,78,No,Yes,Male,low income
420,Bary Buchett,3.17,89,84,Yes,Yes,Male,middle income
421,Vivia Taillant,1.42,91,83,Yes,No,Female,high income
422,Zolly Gledhall,0.43,83,87,Yes,No,Male,high income
423,Debee Boniface,2.09,94,77,No,No,Female,middle income
424,Raviv Dalby,1.43,98,96,No,No,Male,middle income
425,Maynord Digweed,0.89,82,82,No,No,Male,low income
426,Anthia Tift,2.96,86,88,Yes,Yes,Female,high income
427,Ania Hainge,2.59,77,82,Yes,Yes,Female,low income
428,Stearn Gilmore,3.32,78,78,Yes,No,Male,low income
429,Alix Warry,1.42,99,81,No,No,Male,middle income
430,Jeanie MacCostigan,0.16,90,94,Yes,Yes,Female,low income
431,Tobit Guyton,1.38,83,85,Yes,No,Male,middle income
432,Sebastian Bowle,1.89,80,87,No,No,Non-binary,low income
433,Isaac Frenchum,3.55,85,81,No,No,Male,low income
434,Thorny Teodoro,3.63,81,100,Yes,No,Male,high income
